WORD_ID;MODE;ENABLED
b5f35945-882c-3404-8f0a-40c078125ed5;match;true
71ca08f4-6266-3786-a038-1347f0daab18;flashcards;true
71ca08f4-6266-3786-a038-1347f0daab18;match;true
efb5439c-8f8a-3149-a4bc-558c92f51836;flashcards;true
efb5439c-8f8a-3149-a4bc-558c92f51836;match;true
ef4c428e-c88f-3ff1-bebd-5828636f6514;flashcards;true
ef4c428e-c88f-3ff1-bebd-5828636f6514;match;true
95c88bc8-13ff-312c-bc71-fec6131ac2ec;flashcards;true
95c88bc8-13ff-312c-bc71-fec6131ac2ec;match;true
c1e68fa0-3081-3821-8c75-44a2644432f6;flashcards;true
c1e68fa0-3081-3821-8c75-44a2644432f6;match;true
7c8fe68d-ba44-3ef6-9366-75afc49581ed;flashcards;true
7c8fe68d-ba44-3ef6-9366-75afc49581ed;match;true
e26f6e56-206a-3cce-b75f-51bb264077bb;match;true
80cc6fe9-0b87-3df1-a5e8-3f50b9cc4b23;flashcards;true
80cc6fe9-0b87-3df1-a5e8-3f50b9cc4b23;match;true
15c1c593-367b-35f4-8a81-9bfce69f61c9;flashcards;true
15c1c593-367b-35f4-8a81-9bfce69f61c9;match;true
2d3c6260-023b-3e2f-88af-30f8937cfec4;flashcards;true
2d3c6260-023b-3e2f-88af-30f8937cfec4;match;true
a5650f02-35ad-3e94-b9c1-335b1d66cb4d;match;true
0cef1f56-8f47-313d-b6e4-f82f53b6181f;match;true
b4bfabfa-07d3-3595-84ce-c3573b90a0f3;flashcards;true
b4bfabfa-07d3-3595-84ce-c3573b90a0f3;match;true
0e2ebc62-a9aa-34b5-8fd1-bdc8f51f2118;match;true
d1f36b1a-8fc3-3e53-9117-64e7773e936e;match;true
e35568fd-ce2a-35b8-a05c-6aeeb0e13c5b;flashcards;true
e35568fd-ce2a-35b8-a05c-6aeeb0e13c5b;match;true
d1f36b1a-8fc3-3e53-9117-64e7773e936e;flashcards;true
a5650f02-35ad-3e94-b9c1-335b1d66cb4d;flashcards;false
62f6e492-f20d-3665-96ba-7b43058f8fc6;flashcards;false
0cef1f56-8f47-313d-b6e4-f82f53b6181f;flashcards;false
b2cc98c7-35d8-31bd-ade9-9645e9674d62;flashcards;false
0e2ebc62-a9aa-34b5-8fd1-bdc8f51f2118;flashcards;false
02b906ad-7a5e-33ed-981f-0578f3a69d68;flashcards;false
fa94fe86-5024-31cc-ad92-a5ccd174bb1b;flashcards;false
2f2a6db3-7da1-3a69-8f06-63e83ad6743c;flashcards;false
aaf8b622-1ac2-304b-8d35-6bb0918b1b52;flashcards;false
d566ff15-d5ed-31c5-bbc4-3677ab872d07;flashcards;false
3e10e6c5-01e8-3725-9ac1-d1808c442fca;flashcards;false
01057ce9-599c-35bb-a462-466aaedd14f8;flashcards;false
62d2775a-b489-31c4-9ec2-b8039396b9da;flashcards;false
e26f6e56-206a-3cce-b75f-51bb264077bb;flashcards;false
55f54068-c908-3ee5-9f1e-dcb34b3fbf6b;flashcards;false
a43d599a-369f-3dc5-872e-d6837e9e13bd;flashcards;false
